longitude,latitude,StateCode,LGA,LGA NAME,year,Median Age Ð Males (years),Median Age Ð Females (years),Median Age Ð Persons (years),Births,Total fertility rate (per female),Deaths,Population density (persons/km2),Arrivals,Departures,Postgraduate degree (%),Train or tram To Work,Bus To Work,Car (as driver; passenger) To Work,Motor bike/scooter To Work,Bicycle To Work,Other (inc. taxis) To Work,Couple families with children under 15 and/or dependent students,Couple families with non-dependent children only,Couple families without children,One parent families; children under 15 and/or dependent students,One parent families; non-dependent children only,Broadband connection (%)
146.9704166,-36.02660329,1,10050,Albury (C),2010,35.8,37.8,36.8,623,1.9,390,160.9,3330,3300,,,,,,,,,,,,,
146.9704166,-36.02660329,1,10050,Albury (C),2011,36.1,38.3,37.3,592,1.9,379,161.6,3286,3186,2,15,119,17170,153,278,333,4244,746,4936,1606,608,62.7
146.9704166,-36.02660329,1,10050,Albury (C),2012,36.5,38.5,37.6,669,1.9,412,162.5,3203,3472,,,,,,,,,,,,,
146.9704166,-36.02660329,1,10050,Albury (C),2013,36.7,38.5,37.6,662,1.9,420,164.2,3128,3215,,,,,,,,,,,,,
146.9704166,-36.02660329,1,10050,Albury (C),2014,36.8,38.5,37.7,619,1.9,384,167,3279,3174,,,,,,,,,,,,,
151.9575589,-30.54610949,1,10110,Armidale Dumaresq (A),2010,33.3,35.4,34.4,286,1.8,171,5.9,1906,1927,,,,,,,,,,,,,
151.9575589,-30.54610949,1,10110,Armidale Dumaresq (A),2011,33.6,35.8,34.7,304,1.7,212,5.9,1849,1879,6.5,3,85,7237,77,115,256,1961,328,2322,789,260,62.9
151.9575589,-30.54610949,1,10110,Armidale Dumaresq (A),2012,32.9,35.3,34.2,324,1.9,173,6,1816,1936,,,,,,,,,,,,,
151.9575589,-30.54610949,1,10110,Armidale Dumaresq (A),2013,33,35,33.9,305,1.9,170,6,1689,1764,,,,,,,,,,,,,
151.9575589,-30.54610949,1,10110,Armidale Dumaresq (A),2014,33.1,35,34,281,1.8,176,6,1432,1788,,,,,,,,,,,,,
151.1306944,-33.88569171,1,10150,Ashfield (A),2010,35.8,37.9,36.9,593,1.6,396,5197.1,4073,4830,,,,,,,,,,,,,
151.1306944,-33.88569171,1,10150,Ashfield (A),2011,35.6,37.9,36.8,631,1.6,413,5257.5,3831,4636,9.6,5104,994,8799,159,282,248,3850,764,3945,920,610,69.9
151.1306944,-33.88569171,1,10150,Ashfield (A),2012,35.6,37.8,36.7,663,1.6,369,5282.3,3735,4609,,,,,,,,,,,,,
151.1306944,-33.88569171,1,10150,Ashfield (A),2013,35.6,37.6,36.6,636,1.7,380,5333.8,3708,4411,,,,,,,,,,,,,
151.1306944,-33.88569171,1,10150,Ashfield (A),2014,35.6,37.6,36.6,532,1.6,374,5373.4,3654,4801,,,,,,,,,,,,,
151.0457491,-33.85495163,1,10200,Auburn (C),2010,30.9,31.8,31.3,1544,2.3,260,2359.8,5619,7243,,,,,,,,,,,,,
151.0457491,-33.85495163,1,10200,Auburn (C),2011,31.1,32.1,31.6,1579,2.3,344,2394.9,5992,6925,5.2,5919,259,16206,75,120,513,7856,1771,5330,1734,1074,68.4
151.0457491,-33.85495163,1,10200,Auburn (C),2012,31.3,32,31.6,1665,2.3,307,2479.9,6072,6975,,,,,,,,,,,,,
151.0457491,-33.85495163,1,10200,Auburn (C),2013,31.5,32.1,31.8,1667,2.3,321,2566.6,6519,7269,,,,,,,,,,,,,
151.0457491,-33.85495163,1,10200,Auburn (C),2014,31.8,32.3,32,1594,2.3,319,2631,6948,8241,,,,,,,,,,,,,
153.4861796,-28.85290784,1,10250,Ballina (A),2010,43.6,46.2,44.9,430,2.2,423,83.7,3278,3131,,,,,,,,,,,,,
153.4861796,-28.85290784,1,10250,Ballina (A),2011,44,46.5,45.3,428,2.2,453,84.1,3059,3091,2.2,9,96,11653,104,251,393,3308,671,4915,1317,618,64.8
153.4861796,-28.85290784,1,10250,Ballina (A),2012,44.2,46.9,45.7,379,2.1,399,84.6,3260,2997,,,,,,,,,,,,,
153.4861796,-28.85290784,1,10250,Ballina (A),2013,44.5,47.3,46,420,2.1,429,85.3,3141,2826,,,,,,,,,,,,,
153.4861796,-28.85290784,1,10250,Ballina (A),2014,44.8,47.6,46.3,334,1.9,461,85.9,3072,2772,,,,,,,,,,,,,
143.6116784,-33.95034239,1,10300,Balranald (A),2010,40.7,40.1,40.4,30,2.9,12,0.1,138,162,,,,,,,,,,,,,
143.6116784,-33.95034239,1,10300,Balranald (A),2011,41.5,40.5,41,31,2.6,24,0.1,85,140,0.4,3,8,624,5,13,24,198,57,249,54,24,50.3
143.6116784,-33.95034239,1,10300,Balranald (A),2012,42.6,41.8,42.3,38,2.5,24,0.1,115,140,,,,,,,,,,,,,
143.6116784,-33.95034239,1,10300,Balranald (A),2013,43,42.2,42.7,38,2.7,27,0.1,122,142,,,,,,,,,,,,,
143.6116784,-33.95034239,1,10300,Balranald (A),2014,42.9,42.4,42.7,32,2.8,26,0.1,152,121,,,,,,,,,,,,,
151.0130711,-33.92342837,1,10350,Bankstown (C),2010,34.5,36,35.3,3056,2.3,1211,2450.3,11742,12150,,,,,,,,,,,,,
151.0130711,-33.92342837,1,10350,Bankstown (C),2011,34.4,36.1,35.3,2954,2.2,1224,2485,11591,11928,2.4,7340,903,46396,174,176,1628,19406,5306,12411,5403,3670,64.2
151.0130711,-33.92342837,1,10350,Bankstown (C),2012,34.3,36.1,35.3,3027,2.2,1226,2520.9,10938,11961,,,,,,,,,,,,,
151.0130711,-33.92342837,1,10350,Bankstown (C),2013,34.2,36,35.1,3170,2.2,1344,2564.4,11336,12471,,,,,,,,,,,,,
151.0130711,-33.92342837,1,10350,Bankstown (C),2014,34.2,36,35.1,2904,2.2,1271,2608.8,12696,13484,,,,,,,,,,,,,
149.5255534,-33.4300786,1,10470,Bathurst Regional (A),2010,34,36.5,35.3,538,2.1,291,10.3,2461,2067,,,,,,,,,,,,,
149.5255534,-33.4300786,1,10470,Bathurst Regional (A),2011,34.3,37.1,35.8,500,2,317,10.5,2231,2060,2.3,12,75,12928,91,98,383,3482,645,3794,1192,432,63.3
149.5255534,-33.4300786,1,10470,Bathurst Regional (A),2012,34.4,37.4,35.9,522,2.1,310,10.6,2388,2283,,,,,,,,,,,,,
149.5255534,-33.4300786,1,10470,Bathurst Regional (A),2013,34.3,37.3,35.8,500,2,292,10.8,2231,2086,,,,,,,,,,,,,
149.5255534,-33.4300786,1,10470,Bathurst Regional (A),2014,34.4,37.4,36,461,1.9,293,10.9,2287,2204,,,,,,,,,,,,,
149.7175683,-36.82595535,1,10550,Bega Valley (A),2010,46.7,47,46.9,359,2.4,303,5.2,2142,1731,,,,,,,,,,,,,
149.7175683,-36.82595535,1,10550,Bega Valley (A),2011,47.7,48.1,47.9,325,2.4,350,5.3,2049,1977,1.6,3,84,8772,82,57,380,2521,526,4521,1004,336,62.1
149.7175683,-36.82595535,1,10550,Bega Valley (A),2012,48.5,48.9,48.7,290,2.3,291,5.3,2055,1909,,,,,,,,,,,,,
149.7175683,-36.82595535,1,10550,Bega Valley (A),2013,49.1,49.6,49.4,295,2.2,313,5.3,1971,1868,,,,,,,,,,,,,
149.7175683,-36.82595535,1,10550,Bega Valley (A),2014,49.7,50.2,49.9,268,2.1,307,5.3,1919,1726,,,,,,,,,,,,,
152.7285814,-30.40380192,1,10600,Bellingen (A),2010,45.6,46.2,45.9,127,2.5,116,8.1,968,1047,,,,,,,,,,,,,
152.7285814,-30.40380192,1,10600,Bellingen (A),2011,45.8,46.6,46.2,130,2.4,104,8.1,944,1040,2.4,4,19,3045,42,39,139,1033,188,1584,520,177,64.1
152.7285814,-30.40380192,1,10600,Bellingen (A),2012,45.9,47.3,46.8,119,2.3,136,8,870,935,,,,,,,,,,,,,
152.7285814,-30.40380192,1,10600,Bellingen (A),2013,46.1,47.7,47,126,2.4,127,8,898,956,,,,,,,,,,,,,
152.7285814,-30.40380192,1,10600,Bellingen (A),2014,45.9,47.8,46.9,132,2.4,126,8.1,1048,926,,,,,,,,,,,,,
145.7111936,-35.73429755,1,10650,Berrigan (A),2010,46.2,47.5,46.9,107,2.8,80,4,584,535,,,,,,,,,,,,,
145.7111936,-35.73429755,1,10650,Berrigan (A),2011,47.5,48.3,47.9,81,2.5,107,4,545,538,0.5,5,14,2173,26,26,98,623,121,1145,208,64,56.8
145.7111936,-35.73429755,1,10650,Berrigan (A),2012,47.6,48.9,48.2,105,2.6,112,4,620,555,,,,,,,,,,,,,
145.7111936,-35.73429755,1,10650,Berrigan (A),2013,47.9,49.2,48.6,94,2.5,112,4,531,498,,,,,,,,,,,,,
145.7111936,-35.73429755,1,10650,Berrigan (A),2014,47.9,49.6,48.9,92,2.6,110,4.1,588,525,,,,,,,,,,,,,
150.8643091,-33.74133435,1,10750,Blacktown (C),2010,31.8,33.1,32.4,5566,2.4,1441,1276.9,18666,18880,,,,,,,,,,,,,
150.8643091,-33.74133435,1,10750,Blacktown (C),2011,32.1,33.3,32.7,5602,2.3,1491,1300.9,18709,19438,3.5,11554,3303,88770,594,342,2516,35136,7955,20467,10321,5340,70.4
150.8643091,-33.74133435,1,10750,Blacktown (C),2012,32.2,33.5,32.8,5462,2.3,1441,1324.6,18225,19934,,,,,,,,,,,,,
150.8643091,-33.74133435,1,10750,Blacktown (C),2013,32.3,33.6,33,5568,2.2,1445,1354.2,18574,19643,,,,,,,,,,,,,
150.8643091,-33.74133435,1,10750,Blacktown (C),2014,32.5,33.8,33.1,5077,2.1,1506,1384.5,19719,20690,,,,,,,,,,,,,
146.9612183,-33.8943541,1,10800,Bland (A),2010,41.1,40.5,40.8,81,2.8,48,0.7,317,375,,,,,,,,,,,,,
146.9612183,-33.8943541,1,10800,Bland (A),2011,41,40.9,40.9,92,2.8,52,0.7,357,367,0.4,,58,1500,9,21,121,559,92,730,131,58,55.5
146.9612183,-33.8943541,1,10800,Bland (A),2012,41,41.1,41.1,71,2.7,50,0.7,389,355,,,,,,,,,,,,,
146.9612183,-33.8943541,1,10800,Bland (A),2013,41.3,41.5,41.4,70,2.6,50,0.7,268,373,,,,,,,,,,,,,
