year,temperature,precipitation
1970,12,8
1971,12,15
1972,23,15
1973,15,14
1974,14,11
1975,13,10
1976,26,10
1977,19,12
1978,23,9
1979,19,9
1980,16,11
1981,26,15
1982,17,7
1983,13,14
1984,17,13
1985,18,14
1986,12,13
1987,20,10
1988,23,11
1989,18,13
1990,16,8
1991,16,11
1992,19,12
1993,20,12
1994,23,13
1995,25,10
1996,19,9
1997,25,12
1998,24,6
1999,21,10
2000,26,13
2001,16,8
2002,24,13
2003,20,10
2004,18,12
2005,21,12
2006,18,7
2007,12,5
2008,21,14
2009,25,6
2010,18,8
2011,24,14
2012,24,7
2013,14,12
2014,18,12
2015,19,11
