year,precipitation,lat,long
2000,16.33,-34,134
2000,12.08,-26,138
2000,19.29,-25,132
2000,18.67,-22,138
2000,14.22,-24,133
2000,12.48,-20,140
2000,15.17,-28,133
2000,16.48,-34,135
2000,17.79,-33,132
2000,15.41,-30,133
2000,13.88,-28,130
2000,10.03,-31,136
2000,13.38,-20,132
2000,14.52,-24,137
2000,17.52,-33,135
2000,10.11,-31,138
2000,10.12,-23,135
2000,12.33,-34,136
2000,10.93,-34,136
2000,16.63,-30,135
2000,19.65,-26,138
2000,14.83,-35,140
2000,12.43,-25,136
2000,10.88,-29,130
2000,14.32,-35,136
2000,17.95,-35,134
2000,19.16,-25,131
2000,15.94,-29,134
2000,12.96,-32,131
2000,12.60,-22,140
2000,16.92,-21,131
2000,19.60,-28,139
2000,18.60,-26,132
2000,15.83,-21,130
2000,19.27,-35,132
2000,15.02,-34,130
2000,15.68,-21,136
2000,18.13,-21,138
2000,18.93,-30,134
2000,18.51,-32,131
2000,10.82,-26,133
2000,19.64,-24,139
2000,14.26,-35,131
2000,14.18,-21,136
2000,14.00,-30,131
2000,19.43,-20,131
2001,18.43,-34,134
2001,10.79,-26,138
2001,17.18,-25,132
2001,13.25,-22,138
2001,15.45,-24,133
2001,16.53,-20,140
2001,12.10,-28,133
2001,13.53,-34,135
2001,15.33,-33,132
2001,11.47,-30,133
2001,18.11,-28,130
2001,14.58,-31,136
2001,19.54,-20,132
2001,11.44,-24,137
2001,10.08,-33,135
2001,10.97,-31,138
2001,10.45,-23,135
2001,11.66,-34,136
2001,19.89,-34,136
2001,16.33,-30,135
2001,19.76,-26,138
2001,10.37,-35,140
2001,13.72,-25,136
2001,11.25,-29,130
2001,16.60,-35,136
2001,18.24,-35,134
2001,14.24,-25,131
2001,10.16,-29,134
2001,10.70,-32,131
2001,18.64,-22,140
2001,13.76,-21,131
2001,12.38,-28,139
2001,11.30,-26,132
2001,13.91,-21,130
2001,13.15,-35,132
2001,14.80,-34,130
2001,18.90,-21,136
2001,13.57,-21,138
2001,10.98,-30,134
2001,15.73,-32,131
2001,18.11,-26,133
2001,17.00,-24,139
2001,10.08,-35,131
2001,17.17,-21,136
2001,16.75,-30,131
2001,13.79,-20,131
2002,11.41,-34,134
2002,16.41,-26,138
2002,14.50,-25,132
2002,15.39,-22,138
2002,17.97,-24,133
2002,14.84,-20,140
2002,18.84,-28,133
2002,15.32,-34,135
2002,13.99,-33,132
2002,11.03,-30,133
2002,19.20,-28,130
2002,19.03,-31,136
2002,16.28,-20,132
2002,18.24,-24,137
2002,12.01,-33,135
2002,18.37,-31,138
2002,19.38,-23,135
2002,18.07,-34,136
2002,16.34,-34,136
2002,16.80,-30,135
2002,17.72,-26,138
2002,17.32,-35,140
2002,13.42,-25,136
2002,17.95,-29,130
2002,11.21,-35,136
2002,16.22,-35,134
2002,13.19,-25,131
2002,15.41,-29,134
2002,11.33,-32,131
2002,14.21,-22,140
2002,10.12,-21,131
2002,19.94,-28,139
2002,19.95,-26,132
2002,11.97,-21,130
2002,15.72,-35,132
2002,11.33,-34,130
2002,13.24,-21,136
2002,14.72,-21,138
2002,11.73,-30,134
2002,19.03,-32,131
2002,11.41,-26,133
2002,10.90,-24,139
2002,13.02,-35,131
2002,12.88,-21,136
2002,11.63,-30,131
2002,13.02,-20,131
2003,10.02,-34,134
2003,16.71,-26,138
2003,10.81,-25,132
2003,12.47,-22,138
2003,17.77,-24,133
2003,13.56,-20,140
2003,12.48,-28,133
2003,16.20,-34,135
2003,11.47,-33,132
2003,11.47,-30,133
2003,13.52,-28,130
2003,11.52,-31,136
2003,11.99,-20,132
2003,18.51,-24,137
2003,12.34,-33,135
2003,13.04,-31,138
2003,16.65,-23,135
2003,10.62,-34,136
2003,18.56,-34,136
2003,16.33,-30,135
2003,14.58,-26,138
2003,11.21,-35,140
2003,13.59,-25,136
2003,15.40,-29,130
2003,18.78,-35,136
2003,10.49,-35,134
2003,16.74,-25,131
2003,19.52,-29,134
2003,14.87,-32,131
2003,15.30,-22,140
2003,19.97,-21,131
2003,17.08,-28,139
2003,12.07,-26,132
2003,17.40,-21,130
2003,16.57,-35,132
2003,15.34,-34,130
2003,11.01,-21,136
2003,17.50,-21,138
2003,16.60,-30,134
2003,13.15,-32,131
2003,14.86,-26,133
2003,17.45,-24,139
2003,16.15,-35,131
2003,19.03,-21,136
2003,15.60,-30,131
2003,15.61,-20,131
2004,17.12,-34,134
2004,14.50,-26,138
2004,16.28,-25,132
2004,12.65,-22,138
2004,16.75,-24,133
2004,18.52,-20,140
2004,14.47,-28,133
2004,14.47,-34,135
2004,18.40,-33,132
2004,15.66,-30,133
2004,11.66,-28,130
2004,14.59,-31,136
2004,12.82,-20,132
2004,14.67,-24,137
2004,10.60,-33,135
2004,13.26,-31,138
2004,15.90,-23,135
2004,15.70,-34,136
2004,10.58,-34,136
2004,10.53,-30,135
2004,11.07,-26,138
2004,10.99,-35,140
2004,11.36,-25,136
2004,17.89,-29,130
2004,14.07,-35,136
2004,14.00,-35,134
2004,18.76,-25,131
2004,15.69,-29,134
2004,10.38,-32,131
2004,18.92,-22,140
2004,10.49,-21,131
2004,16.02,-28,139
2004,10.37,-26,132
2004,18.82,-21,130
2004,17.63,-35,132
2004,11.42,-34,130
2004,18.30,-21,136
2004,15.87,-21,138
2004,10.02,-30,134
2004,13.11,-32,131
2004,14.96,-26,133
2004,10.79,-24,139
2004,19.20,-35,131
2004,18.28,-21,136
2004,15.22,-30,131
2004,15.06,-20,131
