year,temperature,lat,long
1970,12,-34,120
1971,12,-32,155
1972,23,-33,154
1973,15,-21,131
1974,14,-29,148
1975,13,-22,136
1976,26,-22,120
1977,19,-24,139
1978,23,-26,130
1979,19,-20,151
1980,16,-22,143
1981,26,-21,154
1982,17,-28,138
1983,13,-32,149
1984,17,-23,139
1985,18,-25,125
1986,12,-20,124
1987,20,-35,146
1988,23,-30,122
1989,18,-24,136
1990,16,-27,160
1991,16,-34,149
1992,19,-22,125
1993,20,-23,150
1994,23,-23,142
1995,25,-21,122
1996,19,-23,123
1997,25,-25,133
1998,24,-21,140
1999,21,-28,127
2000,26,-33,137
2001,16,-28,128
2002,24,-29,143
2003,20,-23,120
2004,18,-29,145
2005,21,-28,132
2006,18,-20,150
2007,12,-35,126
2008,21,-28,146
2009,25,-35,150
2010,18,-32,154
2011,24,-32,145
2012,24,-29,123
2013,14,-35,144
2014,18,-24,134
2015,19,-27,160
